Title,"AusTraits, A national database on the traits of Australia's complete flora",,,,
Description,"AusTraits is a transformative database, containing measurements on the traits of Australia's plant taxa, standardised from hundreds of disconnected primary sources. While this repository contains the harmonised data, the raw data and code used to build the resource are also available on the project's GitHub repository,http://traitecoevo.github.io/austraits.build. Further information on the project is available in the associated publication and at the project website https://austraits.org.",,,,
Version,4.1.0.9000,,,,
Creators ,"Daniel Falster, Rachael Gallagher, Elizabeth Wenk",,,,
License ,CC-BY-4.0,,,,
Geo location,"Australia, EPSG:4326",,,,
Measurement(s),Plant Trait,,,,
Technology Type(s),Digital Curation,,,,
Sample Characteristic - Organism,Viridiplantae,,,,
Source,"AusTraits data is derived from nearly 300 distinct sources, each contributed by an individual researcher, government entity (e.g. herbaria), or NGO. Each reflects the research agenda of the individual/organisation who contributed the data - the species selected, traits measured, manipulative treatments performed, and locations sampled encompass the diversity of research interests present in Australia throughout past decades. ",,,,
Access ,"Data was accessed from zenodo (https://doi.org/10.5281/zenodo.3568417), the downloaded it using the Austraits R package(https://github.com/traitecoevo/austraits). For our analysis we used a development version of the dataset available from the development branch of the austraits.bulid github repository (https://github.com/traitecoevo/austraits.build). ",,,,
,,,,,
Files Name,Format,Access,,,File Use
austraits-4.1.0 ,Public release data,https://zenodo.org/record/7583087/files/austraits-4.1.0.rds?download=1,,,"This file contained multiple layers. However, our work focussed mainly on the provided trait table for our intial analysis. "
austraits-4.1.0.9000,Development version data,https://github.com/traitecoevo/austraits.build/commit/0e1c08b0e46fa27f1230c25ee1d3bd050618d331,,,"This file contained multiple layers. However, our work focussed mainly on the provided trait table used for our final analysis as it contained higher trait coverage than the publically available version. "
AusTraits Plant Dictionary (APD),Dictionary ,https://traitecoevo.github.io/APD/,,,Contained all definitions of traits. 
,,,,,
Model_Data Metadata,Definition ,Data Type,Units/Accepted Values,,
taxon_name,"scientific name of a taxa, usually a species ",Categorical,,,
leaf_length,"Length of a leaf (including the petiole) or a leaf analogue, from the leaf apex to the leaf axil (base)",Numeric,mm,,
plant_height ,The maximum vertical height of the vegetative shoot system for a taxon in a given location.,Numeric,m,,
leaf_width,"The maximum width axis of a leaf or a leaf analogue (a leaflet, cladode, or phyllode), measured perpendicular to the leaf length.",Numeric,mm,,
leaf_area,"The 2-dimensional projected (scanned) area of the surface of a leaf or a leaf analogue (leaflet, cladode, phyllode).",Numeric,mm2,,
plant_growth_form,"The form of a plant, capturing a general sense of plant height and shape, which parts of a plant are woody versus herbaceous, the number of stems arising at ground level, and the distribution of leaves relative to the main stem.",Categorical,"herb, subshrub, shrub, mallee, tree, graminoid, tussock, graminoid_not_tussock, hummock, basal_large, geophyte, palmoid, climber, climber_herbaceous, climber_woody, fern, lycophyte",,
woodiness_detailed,"A variable to indicate the extent, distribution, and type of secondary xylem (true wood) and wood-like lignification (woodiness in monocots and ferns) in stems, roots, and reproductive shoots.",Categorical,"herbaceous, woody, woody_base, woody_root, semi_woody, woody_like_stem, woody_like_inflorescence",,
leaf_shape,Shapes of a leaf or leaflet.,Categorical,"linear, narrowly_oblong, oblong, linear_elliptical, narrowly_elliptical, elliptical, widely_elliptical, orbicular, oblate, lanceolate, narrowly_ovate, ovate, widely_ovate, narrowly_oblanceolate, oblanceolate, narrowly_obovate, obovate, widely_obovate, narrowly_triangular, triangular, deltate, obtriangular, narrowly_rhomboidal, rhomboidal, trullate, narrowly_obtrullate, obtrullate, widely_obtrullate, acicular, terete, cordate, obcordate, falcate, reniform, spathulate, subulate, peltate, filiform",,
life_history ,"Categorical description of the duration of a plant’s lifespan, from germination to death.",Categorical,"ephemeral, annual, biennial, perennial, short_lived_perennial",,
fam,family level of a tax ,Categorical,,,
LxW,value multiplying leaf length and leaf width columns together,numerical,mm2,,
Residuals,residual values from the linear model of leaf area ~ length*width,numerical,,,
logLxW,log transformation of LxW column,numerical,log mm2,,
log_area,log transformation of leaf_area column,numerical,log mm2,,
log_length,log transformation of leaf_length column,numerical,log mm,,
log_width,log transformation of leaf_width column,numerical,log mm,,
log_height,log transformation of plant_height column,numerical,log mm,,
dataset_ID,"Primary identifier for each study contributed to AusTraits; most often these are scientific papers, books, or online resources. By default this should be the name of the first author and year of publication, e.g. Falster_2005.",,,,
